,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,Trainer,CurrentRating,StartofTheSeasonRating
982,速遞奇兵,紐西蘭,5,2017,棕,閹,"$1,368,000","$11,369,500",5,0,1,12,蔡約翰,115,116
983,連利福將,紐西蘭,7,2015,灰,閹,"$37,800","$3,488,900",3,1,9,37,葉楚航,49,52
984,連連勝利,澳洲,3,2019,栗,閹,$0,$0,0,0,0,2,蔡約翰,50,52
985,連連有盈,澳洲,5,2017,棗,閹,"$966,000","$4,408,350",3,4,1,14,告東尼,77,75
986,連連歡呼,澳洲,4,2018,栗,閹,"$332,400","$826,950",0,1,0,10,方嘉柏,81,82
987,連連行運,法國,6,2016,棗,閹,$0,"$6,792,905",7,6,4,44,蔡約翰,74,74
988,進優自在,紐西蘭,6,2016,棗,閹,$0,"$2,755,585",2,4,5,29,文家良,52,52
989,進力之城,澳洲,7,2015,棗,閹,$0,"$3,496,615",3,2,3,38,韋達,52,55
990,進趣,愛爾蘭,3,2019,棕,閹,$0,$0,0,0,0,3,高伯新,62,66
991,運來多寶,澳洲,4,2018,棗,閹,$0,$0,0,0,0,5,容天鵬,37,48
992,運來孖寶,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,9,容天鵬,23,29
993,運高八斗,澳洲,4,2018,棗,閹,"$163,875","$1,651,575",2,0,0,5,姚本輝,68,68
994,遨遊之星,紐西蘭,7,2015,棗,閹,"$237,600","$3,922,210",4,4,3,44,容天鵬,47,49
995,遨遊天下,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,姚本輝,52,52
996,遨遊氣泡,澳洲,4,2018,棗／棕,閹,"$577,875","$2,694,725",2,3,1,7,姚本輝,76,74
997,還看今朝,澳洲,4,2018,栗,閹,$0,$0,0,0,0,0,賀賢,52,52
998,都柏名駒,紐西蘭,6,2016,棕,閹,"$124,200","$3,917,595",3,2,7,34,文家良,52,53
999,都靈勇士,澳洲,5,2017,棗,閹,"$475,200","$686,150",0,2,1,13,高伯新,56,53
1000,都靈太陽,英國,4,2018,棗,閹,"$234,000","$8,580,900",1,3,2,12,韋達,101,101
1001,都靈福星,愛爾蘭,3,2019,灰,閹,$0,$0,0,0,0,0,韋達,69,69
1002,醉眼光,澳洲,5,2017,棕,閹,"$853,000","$3,495,700",3,2,1,14,蔡約翰,80,80
1003,醒目勇駒,澳洲,8,2014,棗,閹,"$510,300","$4,853,200",3,4,6,55,蘇偉賢,49,41
1004,醒目未來,日本,3,2019,棗,閹,$0,$0,0,0,0,1,蘇偉賢,52,52
1005,醒臣,澳洲,6,2016,栗,閹,"$595,125","$4,468,525",1,6,3,31,姚本輝,74,76
1006,重禮,法國,4,2018,栗,雄,"$440,000","$440,000",0,0,0,1,杜誠高,,
1007,野田小子,日本,4,2018,棗,雄,"$7,480,000","$7,480,000",0,1,0,1,安田隆行,,
1008,野田赤蠍,日本,3,2019,棗,雄,"$600,000","$600,000",0,0,0,1,安田隆行,,
1009,量化歡騰,澳洲,7,2015,棗,閹,"$753,825","$5,155,645",4,8,3,35,韋達,70,68
1010,金佰令,澳洲,3,2019,棗,閹,"$103,500","$103,500",0,0,0,2,姚本輝,63,63
1011,金像非凡,紐西蘭,5,2017,棕,閹,"$891,000","$2,971,050",2,3,4,24,羅富全,60,55
1012,金剛石,紐西蘭,7,2015,棕,閹,"$48,600","$2,578,735",2,4,6,37,鄭俊偉,32,32
1013,金哥兒,南非,6,2016,棗,閹,"$60,375","$534,075",0,0,1,11,苗禮德,71,74
1014,金多富,阿根廷,4,2018,棗,閹,$0,$0,0,0,0,1,苗禮德,80,80
1015,金寶,美國,3,2019,棕,閹,$0,$0,0,0,0,0,方嘉柏,63,63
1016,金德義,紐西蘭,4,2018,棕,閹,$0,$0,0,0,0,0,苗禮德,52,52
1017,金棵滿坻,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,0,沈集成,52,52
1018,金榜題名,紐西蘭,4,2018,棕,閹,$0,$0,0,0,0,0,沈集成,63,63
1019,金津一號,阿根廷,6,2016,灰,閹,"$178,200","$1,188,200",1,3,0,19,葉楚航,31,38
1020,金津銀星,澳洲,3,2019,棕,閹,$0,$0,0,0,0,0,丁冠豪,52,52
1021,金爵士,紐西蘭,5,2017,棗,閹,"$983,250","$1,258,000",1,0,1,6,方嘉柏,74,66
1022,金牌實力,澳洲,4,2018,棗,閹,$0,"$29,750",0,0,0,6,苗禮德,38,40
1023,金獅大將,紐西蘭,7,2015,棗,閹,"$550,800","$1,872,500",0,4,4,33,大衛希斯,43,42
1024,金發盛世,法國,4,2018,棗,閹,"$218,500","$3,661,900",3,1,3,12,呂健威,71,73
1025,金發銀發,紐西蘭,5,2017,棗,閹,"$124,200","$353,000",0,1,1,11,呂健威,58,62
1026,金碧科,澳洲,8,2014,棗,閹,"$93,150","$3,885,480",3,7,4,54,鄭俊偉,24,30
1027,金積驥,日本,4,2018,栗,雄,$0,$0,0,0,0,1,藤岡健一,,
1028,金莊令,紐西蘭,6,2016,棗,閹,"$66,500","$4,226,230",3,5,1,29,姚本輝,62,68
1029,金運來,紐西蘭,3,2019,棗,閹,$0,$0,0,0,0,0,文家良,52,52
1030,金鎗六十,澳洲,7,2015,棕,閹,"$9,450,000","$122,850,600",22,2,1,26,呂健威,130,131
1031,金鎗武士,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,呂健威,52,52
1032,金鑽貴人,紐西蘭,4,2018,棕,閹,"$6,905,050","$13,732,200",7,2,1,11,文家良,119,98
1033,金馳,澳洲,4,2018,棗,閹,"$577,875","$577,875",0,1,1,2,蔡約翰,67,64
1034,金鼓齊昇,紐西蘭,4,2018,棗,閹,"$475,200","$475,200",0,2,0,2,沈集成,56,52
1035,鈁糖武士,澳洲,4,2018,棕,閹,"$653,400","$1,573,800",2,1,0,9,方嘉柏,60,55
1036,鈦易搵,英國,2,2020,灰,雄,$0,$0,0,0,0,0,方嘉柏,,
1037,銀亮之星,澳洲,9,2013,栗,閹,$0,"$3,367,600",3,4,4,47,蘇偉賢,29,30
1038,銀亮之風,澳洲,4,2018,棗,閹,"$2,285,125","$2,285,125",1,0,1,7,方嘉柏,71,67
1039,銀亮光速,澳洲,4,2018,棕,閹,$0,$0,0,0,0,0,呂健威,63,63
1040,銀亮威龍,澳洲,5,2017,灰,閹,$0,"$265,200",0,1,0,11,黎昭昇,32,38
1041,銀河飛馬,澳洲,7,2015,棗,閹,"$124,200","$4,036,600",4,3,2,42,丁冠豪,55,56
1042,銀進,澳洲,4,2018,棗,閹,"$1,692,750","$1,729,150",2,0,2,8,方嘉柏,65,48
1043,銀鎚仔,愛爾蘭,3,2019,灰,閹,$0,$0,0,0,0,1,高伯新,65,65
1044,鋒芒勁露,紐西蘭,5,2017,棕,閹,"$102,600","$844,550",1,0,0,13,方嘉柏,55,59
1045,鋼鐵福陞,澳洲,5,2017,棗,閹,$0,"$1,481,400",2,0,0,22,文家良,30,33
1046,錢多多,紐西蘭,5,2017,棗,閹,"$162,000","$817,200",1,0,1,11,大衛希斯,45,49
1047,錢途光明,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,0,丁冠豪,52,52
1048,錶之五知,愛爾蘭,4,2018,棗／棕,閹,"$66,500","$1,306,800",1,1,0,7,告東尼,76,76
1049,錶之功能,紐西蘭,5,2017,棗,閹,"$37,800","$37,800",0,0,0,10,呂健威,57,60
1050,錶之將來,愛爾蘭,3,2019,棕,閹,"$30,188","$30,188",0,0,0,8,丁冠豪,54,60
1051,錶之科學,澳洲,6,2016,棗／棕,閹,"$1,741,800","$3,003,150",2,3,4,19,伍鵬志,65,59
1052,錶之量子,愛爾蘭,3,2019,棗,閹,$0,$0,0,0,0,0,伍鵬志,66,66
1053,錶之雲端,紐西蘭,3,2019,棕,閹,$0,$0,0,0,0,0,伍鵬志,52,52
1054,錶壇精英,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,姚本輝,52,52
1055,鎂之妙,紐西蘭,7,2015,棕,閹,"$102,600","$1,717,205",1,2,4,19,容天鵬,54,57
1056,鐵三角,澳洲,4,2018,棗,閹,$0,$0,0,0,0,2,大衛希斯,66,67
1057,鑽兩鑽,澳洲,5,2017,棗,閹,$0,$0,0,0,0,9,姚本輝,32,32
1058,鑽石寶寶,澳洲,5,2017,灰,閹,$0,"$655,200",1,0,0,7,姚本輝,52,55
1059,鑽石福星,紐西蘭,6,2016,棗,閹,"$729,600","$3,059,900",4,1,2,18,丁冠豪,62,56
1060,鑽飛龍,澳洲,7,2015,棗,閹,"$305,100","$1,764,300",1,1,2,22,容天鵬,49,52
1061,鑽飾永恆,澳洲,3,2019,栗,閹,$0,$0,0,0,0,0,呂健威,52,52
1062,鑽飾翱翔,澳洲,4,2018,棗,閹,"$558,900","$558,900",1,0,0,10,姚本輝,40,38
1063,長發,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,何良,52,52
1064,長長友,紐西蘭,7,2015,棗,閹,$0,"$3,200,950",3,4,1,30,容天鵬,52,56
1065,閃得快,愛爾蘭,6,2016,栗,閹,"$875,850","$3,354,575",0,5,8,27,沈集成,60,61
1066,閃耀光芒,紐西蘭,5,2017,棕,閹,"$305,100","$1,396,300",1,2,3,13,韋達,54,54
1067,閃耀威龍,愛爾蘭,3,2019,棕,閹,$0,$0,0,0,0,3,文家良,61,65
1068,閃耀將神,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,容天鵬,52,52
1069,閃耀星光,紐西蘭,5,2017,棗,閹,$0,$0,0,0,0,5,徐雨石,65,70
1070,閃電,愛爾蘭,4,2018,棗,閹,"$114,000","$1,943,050",1,2,0,13,沈集成,68,75
1071,閃電俠,澳洲,7,2015,棗,閹,$0,"$2,789,800",3,2,1,23,黎昭昇,54,55
1072,閃電烈馬,英國,6,2016,棗,閹,"$60,375","$1,661,865",2,1,1,16,葉楚航,60,64
1073,開心再來,紐西蘭,5,2017,棗,閹,"$56,700","$56,700",0,0,0,10,沈集成,32,39
1074,開心大師,澳洲,8,2014,棗,閹,$0,"$2,590,670",4,1,3,52,蘇偉賢,22,24
1075,開心寶貝,澳洲,4,2018,棕,閹,$0,$0,0,0,0,1,黎昭昇,71,71
1076,開心摯友,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,丁冠豪,52,52
1077,開心漢子,紐西蘭,3,2019,棗,閹,$0,$0,0,0,0,0,文家良,52,52
1078,開心熊,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,黎昭昇,52,52
1079,開心蔬菜,紐西蘭,5,2017,灰,閹,"$48,600","$85,000",0,0,0,10,大衛希斯,35,39
1080,開心馬,澳洲,4,2018,棗／棕,閹,$0,$0,0,0,0,0,文家良,52,52
1081,開心高球,澳洲,4,2018,棕,閹,$0,$0,0,0,0,0,羅富全,52,52
1082,闖一,澳洲,4,2018,棗,閹,$0,"$119,600",0,0,1,6,伍鵬志,43,51
1083,陸知,澳洲,4,2018,棗,閹,"$275,400","$457,400",0,1,1,10,黎昭昇,43,41
1084,陽光傳奇,澳洲,4,2018,棗,閹,"$48,600","$48,600",0,0,0,6,高伯新,38,45
1085,陽明冠爵,澳洲,6,2016,棗,閹,"$178,200","$1,650,320",2,2,2,28,韋達,41,45
1086,陽明天空,澳洲,4,2018,棗,閹,"$124,200","$717,000",1,0,1,3,呂健威,58,58
1087,險峰懸壁,美國,7,2015,深棗,雄,$0,$0,0,0,0,1,池江泰壽,,
1088,隱形翅膀,英國,4,2018,棗,閹,"$218,500","$1,239,000",0,2,2,11,姚本輝,68,70
1089,雄昇隊長,澳洲,3,2019,棕,閹,$0,$0,0,0,0,0,黎昭昇,52,52
1090,雅典武士,澳洲,4,2018,棕,閹,"$237,600","$237,600",0,1,0,2,大衛希斯,54,52
1091,雙天至尊,愛爾蘭,7,2015,棗,閹,"$237,600","$3,805,125",4,3,2,43,呂健威,59,59
1092,雙節棍,紐西蘭,8,2014,棗,閹,$0,"$2,899,410",4,1,2,27,方嘉柏,56,56
1093,雪勇神駒,愛爾蘭,3,2019,棗,閹,"$615,600","$615,600",1,0,0,1,沈集成,63,52
1094,雪山神駒,巴西,4,2018,栗,閹,$0,$0,0,0,0,0,沈集成,72,72
1095,雲彩飛揚,愛爾蘭,5,2017,棗,閹,"$490,050","$552,450",1,0,0,22,葉楚航,40,36
1096,雲行駿起,澳洲,3,2019,棗,閹,"$275,400","$462,400",0,2,0,6,沈集成,46,53
1097,零距離,澳洲,5,2017,棗,閹,$0,"$1,645,850",2,0,2,18,黎昭昇,44,44
1098,雷電鬥士,英國,3,2019,栗,閹,$0,$0,0,0,0,0,告東尼,76,76
1099,雷霆戰駒,澳洲,6,2016,棗,閹,$0,"$1,623,700",1,2,4,26,方嘉柏,34,34
1100,電子傳奇,澳洲,5,2017,棗,閹,"$379,500","$2,153,300",2,3,0,13,文家良,61,61
1101,電子兄弟,澳洲,5,2017,棗,閹,"$977,400","$1,845,800",1,4,2,16,文家良,48,43
1102,電子宇宙,澳洲,3,2019,棗／棕,閹,$0,$0,0,0,0,0,文家良,52,52
1103,電子彩虹,澳洲,4,2018,棗,閹,"$237,600","$310,400",0,1,0,5,大衛希斯,50,49
1104,電氣騎士,澳洲,4,2018,棗,閹,"$379,500","$1,027,250",1,1,0,6,韋達,72,70
1105,電源之駒,英國,4,2018,棗,閹,"$1,181,625","$3,677,925",3,1,3,16,蔡約翰,81,78
1106,電訊同心,澳洲,4,2018,棗／棕,閹,$0,$0,0,0,0,2,徐雨石,66,66
1107,電訊巴打,澳洲,6,2016,棗／棕,閹,"$1,653,000","$9,625,000",5,4,5,30,徐雨石,98,93
1108,電訊犇豹,紐西蘭,6,2016,栗,閹,$0,"$1,020,500",2,0,1,19,葉楚航,47,47
1109,電訊飛彈,澳洲,6,2016,棗,閹,"$179,550","$2,337,150",3,3,3,34,方嘉柏,37,43
1110,電訊飛車,澳洲,5,2017,栗,閹,"$60,375","$60,375",0,0,0,3,徐雨石,62,64
1111,電路七號,澳洲,5,2017,栗,閹,"$302,400","$1,992,720",2,2,1,29,告東尼,53,56
1112,電路九號,愛爾蘭,3,2019,灰,閹,$0,"$969,000",2,0,0,3,告東尼,64,64
1113,電路十一,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,告東尼,52,52
1114,電路十號,愛爾蘭,3,2019,棗,閹,"$103,500","$103,500",0,0,0,3,告東尼,60,63
1115,霹靂神龍,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,0,賀賢,52,52
1116,靈鋒,愛爾蘭,8,2014,棗,閹,$0,"$2,723,055",4,2,6,59,苗禮德,23,33
1117,青春向前,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,7,徐雨石,32,35
1118,靚蝦女,澳洲,5,2017,棗,閹,"$1,799,700","$2,444,500",2,2,2,15,韋達,65,48
1119,非凡之星,澳洲,5,2017,棗／棕,閹,$0,$0,0,0,0,0,蘇偉賢,70,70
1120,非凡膽識,澳洲,5,2017,棕,閹,"$48,600","$48,600",0,0,0,8,葉楚航,28,39
1121,非凡魅力,紐西蘭,7,2015,棗,閹,"$639,900","$1,450,480",1,2,2,29,賀賢,31,25
1122,非池,愛爾蘭,3,2019,棗,閹,$0,$0,0,0,0,0,沈集成,52,52
1123,韋小寶,紐西蘭,7,2015,栗,閹,"$1,596,975","$16,127,620",8,5,8,39,伍鵬志,112,109
1124,順利取勝,澳洲,4,2018,棕,閹,$0,$0,0,0,0,2,蔡約翰,48,48
1125,順勢而飛,澳洲,4,2018,棗,閹,"$3,421,900","$3,947,850",2,1,2,7,羅富全,79,65
1126,順勢贏,愛爾蘭,5,2017,棗,閹,$0,"$4,367,900",1,3,4,22,賀賢,71,73
1127,領航傳祺,紐西蘭,4,2018,棗,閹,"$432,000","$567,200",0,1,0,13,沈集成,42,43
1128,領航宇宙,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,1,黎昭昇,66,66
1129,領航神駒,澳洲,4,2018,栗,閹,"$102,600","$165,000",0,0,0,6,高伯新,46,48
1130,領航聖心,紐西蘭,3,2019,棗,閹,$0,$0,0,0,0,0,黎昭昇,52,52
1131,領頭先駒,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,4,容天鵬,68,70
1132,顏色大皇,愛爾蘭,2,2020,棗,閹,$0,$0,0,0,0,0,告東尼,69,69
1133,顏色王子,紐西蘭,5,2017,栗,閹,"$226,800","$226,800",0,0,1,10,韋達,36,42
1134,顯心星,澳洲,6,2016,栗,閹,"$3,423,500","$34,325,200",6,3,9,27,方嘉柏,119,120
1135,風中勁松,澳洲,5,2017,棗,隱睪,$0,"$478,850",0,0,1,10,蘇偉賢,53,57
1136,風流人物,紐西蘭,6,2016,栗,閹,$0,"$2,256,100",1,4,3,16,大衛希斯,59,60
1137,風火戰駒,澳洲,5,2017,栗,閹,"$2,267,100","$9,683,750",6,3,1,17,蔡約翰,102,96
1138,風繼續吹,澳洲,4,2018,栗,閹,"$615,600","$1,421,600",1,3,1,9,姚本輝,64,57
1139,風雷電,紐西蘭,5,2017,棗,閹,$0,"$1,593,400",2,1,0,4,沈集成,69,69
1140,飛來勁,澳洲,5,2017,棗,閹,$0,"$36,400",0,0,0,6,賀賢,42,46
1141,飛凡,愛爾蘭,4,2018,棗,閹,"$681,375","$5,192,600",2,7,2,24,蔡約翰,77,77
1142,飛天劍,澳洲,7,2015,棕,閹,$0,"$3,284,950",2,4,3,33,丁冠豪,55,55
1143,飛天神駒,巴西,5,2017,棗,雄,$0,"$1,138,250",1,0,0,18,苗禮德,62,69
1144,飛漲,愛爾蘭,4,2018,棗,閹,$0,"$400,350",0,1,0,4,韋達,65,65
1145,飛行棋,紐西蘭,3,2019,棕,閹,$0,$0,0,0,0,0,黎昭昇,52,52
1146,飛躍凱旋,紐西蘭,4,2018,棗,閹,$0,"$244,400",0,0,1,10,韋達,41,48
1147,飛躍坪山,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,0,丁冠豪,52,52
1148,飛輪步,澳洲,4,2018,棕,閹,$0,$0,0,0,0,0,方嘉柏,73,73
1149,飛輪閃耀,澳洲,6,2016,棗,閹,"$4,138,000","$22,719,250",3,5,3,22,沈集成,119,119
1150,飛馬好威,澳洲,4,2018,棗,閹,$0,$0,0,0,0,1,賀賢,52,52
1151,飛馬將軍,巴西,5,2017,棗,閹,"$418,000","$418,000",0,1,0,10,丁冠豪,63,66
1152,飛馬英雄,巴西,5,2017,栗,閹,$0,$0,0,0,0,2,徐雨石,74,76
1153,飛騰騅,法國,4,2018,棗,閹,"$64,800","$1,481,280",1,3,0,14,方嘉柏,50,58
1154,飛鷹翱翔,愛爾蘭,3,2019,棗,閹,$0,$0,0,0,0,0,伍鵬志,69,69
1155,首飾大亨,澳洲,4,2018,栗,閹,$0,"$265,200",0,1,0,4,蔡約翰,52,52
1156,香港精神,澳洲,5,2017,棕,閹,$0,"$1,766,000",2,2,1,19,苗禮德,48,52
1157,馬上旺,紐西蘭,4,2018,棗,閹,"$37,800","$100,200",0,0,0,6,呂健威,43,48
1158,馬上發達,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,葉楚航,52,52
1159,馬主星輝,英國,7,2015,栗,閹,"$747,900","$3,512,700",3,4,1,44,蘇偉賢,39,34
1160,馬主雄風,澳洲,4,2018,棗,閹,"$237,600","$237,600",0,1,0,1,蘇偉賢,53,52
1161,馬有運,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,伍鵬志,63,63
1162,馬林,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,韋達,52,52
1163,馬梟雄,澳洲,4,2018,棗,閹,$0,$0,0,0,0,2,蘇偉賢,65,67
1164,馬爾代夫,紐西蘭,6,2016,棗,閹,"$60,375","$5,144,395",3,6,4,29,賀賢,72,78
1165,馳風騁雨,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,蘇偉賢,52,52
1166,駟跑得,澳洲,5,2017,棗,閹,"$1,147,125","$2,061,025",1,1,1,12,大衛希斯,73,69
1167,駿寶,澳洲,4,2018,棕,閹,"$853,200","$853,200",1,1,0,3,羅富全,61,52
1168,駿爵士,澳洲,7,2015,棗,閹,"$583,200","$4,425,465",4,5,5,46,方嘉柏,45,43
1169,駿皇寶,澳洲,4,2018,棗,閹,$0,$0,0,0,0,2,蘇偉賢,62,64
1170,駿皇星,澳洲,7,2015,棗,閹,"$180,900","$2,840,740",3,3,1,40,文家良,54,59
1171,駿益善,紐西蘭,6,2016,栗,閹,"$234,375","$3,958,675",4,2,1,19,沈集成,77,80
1172,駿行星,澳洲,4,2018,栗,閹,$0,$0,0,0,0,0,方嘉柏,52,52
1173,駿馬快車,澳洲,5,2017,栗,閹,"$1,963,900","$2,144,450",1,0,2,7,姚本輝,86,82
1174,駿馬風采,澳洲,6,2016,棗,閹,"$3,009,600","$8,142,353",6,5,2,17,羅富全,101,88
1175,駿龍駒,英國,6,2016,灰,閹,"$577,875","$3,601,425",1,3,6,28,伍鵬志,70,73
1176,騰勝霸駒,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,韋達,67,67
1177,騰飛塔,紐西蘭,6,2016,棗,閹,$0,"$1,081,200",1,2,0,15,蘇偉賢,45,49
1178,驃騎飛,澳洲,7,2015,棗,閹,"$76,950","$1,271,045",2,1,0,27,何良,29,34
1179,驕陽,澳洲,5,2017,棗,閹,$0,$0,0,0,0,4,黎昭昇,44,47
1180,驚喜,澳洲,5,2017,棗,閹,"$1,368,000","$1,462,200",1,0,1,11,蔡約翰,70,65
1181,驛驛其達,紐西蘭,5,2017,棕,閹,"$226,800","$226,800",0,1,0,12,伍鵬志,29,28
1182,高份數,澳洲,3,2019,栗,閹,$0,$0,0,0,0,0,容天鵬,52,52
1183,高明駿將,澳洲,7,2015,棗,閹,"$645,788","$5,115,588",3,5,4,41,呂健威,63,62
1184,高瞻遠矚,紐西蘭,7,2015,棗,閹,"$636,500","$7,613,940",7,6,5,49,苗禮德,77,77
1185,高進明駒,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,容天鵬,63,63
1186,高韻,愛爾蘭,3,2019,棗,閹,$0,"$94,200",0,0,0,4,韋達,57,59
1187,高高,澳洲,5,2017,棗,閹,"$64,800","$1,901,600",3,1,0,16,苗禮德,53,58
1188,魅力一丁,澳洲,4,2018,棗,閹,"$340,200","$569,000",0,2,0,7,呂健威,54,54
1189,魅力一心,澳洲,4,2018,棗／棕,閹,$0,$0,0,0,0,0,蔡約翰,63,63
1190,魅力一驕,澳洲,3,2019,棗,閹,$0,$0,0,0,0,3,蔡約翰,47,52
1191,魅力仔,澳洲,5,2017,棕,閹,$0,"$326,200",0,1,1,9,文家良,41,41
1192,魅力寶駒,澳洲,4,2018,栗,閹,"$163,875","$1,411,875",2,0,0,7,蔡約翰,70,72
1193,魅力知遇,紐西蘭,4,2018,棗,閹,"$3,776,700","$3,776,700",4,1,0,5,蔡約翰,84,52
1194,魅影獵飛,澳洲,4,2018,棗,閹,"$37,800","$56,000",0,0,0,6,姚本輝,44,50
1195,鴻圖巨星,澳洲,8,2014,棕,閹,$0,"$3,102,330",2,3,4,47,葉楚航,29,31
1196,鴻運飛鷹,澳洲,6,2016,栗,閹,"$776,250","$5,713,550",3,4,4,31,呂健威,71,73
1197,鵲橋飛渡,德國,8,2014,棗,閹,$0,"$3,973,395",4,3,3,56,蘇偉賢,31,36
1198,鷹勇猴王,澳洲,4,2018,栗,閹,$0,$0,0,0,0,1,韋達,52,52
1199,鹿鼎記,紐西蘭,6,2016,棗,閹,"$1,393,200","$2,180,200",3,0,2,12,伍鵬志,63,53
1200,麒麟,紐西蘭,5,2017,棗,閹,"$37,800","$651,800",0,2,0,13,大衛希斯,38,41
1201,麗冠花環,日本,5,2017,棗,雌,$0,"$600,000",0,0,0,2,高野友和,,
1202,黃腳鱲,澳洲,4,2018,棗,閹,"$610,200","$1,021,000",0,2,4,8,呂健威,52,53
1203,黑桃火箭,澳洲,5,2017,棗,閹,"$258,750","$601,700",0,0,1,11,方嘉柏,72,73
1204,鼓浪精綵,紐西蘭,5,2017,棕,閹,"$951,750","$1,123,350",1,1,1,14,文家良,46,38
1205,鼓浪順風,紐西蘭,7,2015,棕,閹,"$140,400","$3,041,700",2,2,4,36,姚本輝,47,53
1206,鼓浪飛凡,紐西蘭,3,2019,棗,閹,"$615,600","$615,600",1,0,0,3,文家良,62,52
1207,齊叫好,日本,4,2018,棗,雌,"$792,000","$792,000",0,0,0,1,武英智,,
1208,齊喜,愛爾蘭,4,2018,灰,閹,"$28,350","$28,350",0,0,0,13,高伯新,30,39
1209,齊天大聖,紐西蘭,5,2017,棗,閹,"$1,664,625","$2,024,925",1,1,2,12,伍鵬志,71,60
1210,齊心勇士,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,呂健威,52,52
1211,齊心同行,澳洲,5,2017,棗,閹,"$1,296,975","$3,166,575",3,3,2,25,伍鵬志,66,61
1212,齊齊友福,澳洲,6,2016,棗,閹,"$739,200","$7,106,300",5,3,3,24,鄭俊偉,88,86
1213,龍之威,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,鄭俊偉,52,52
1214,龍之心,澳洲,4,2018,棕,閹,$0,$0,0,0,0,0,呂健威,52,52
1215,龍來了,日本,4,2018,棗,閹,"$37,800","$1,684,150",2,0,3,14,韋達,59,59
1216,龍城強將,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,韋達,52,52
1217,龍戰士,英國,8,2014,棗,閹,"$842,400","$3,116,100",4,1,4,37,伍鵬志,56,49
1218,龍東傳承,澳洲,5,2017,栗,閹,"$64,800","$813,600",1,0,1,12,文家良,45,48
1219,龍的風采,澳洲,4,2018,棗,閹,$0,$0,0,0,0,1,韋達,52,52
1220,龍船快,英國,4,2018,棗,閹,$0,$0,0,0,0,7,呂健威,40,46
1221,龍船狀元,愛爾蘭,4,2018,栗,閹,"$399,000","$1,623,600",1,0,2,10,告東尼,79,77
1222,龍騰飛翔,紐西蘭,5,2017,棗,閹,"$862,500","$2,867,450",2,3,4,19,葉楚航,66,64
1223,龍鼓飛揚,愛爾蘭,7,2015,灰,閹,$0,"$12,650,250",4,4,3,24,伍鵬志,118,118
